ITEM: TIMESTEP
100000
ITEM: NUMBER OF ATOMS
15812
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 4.0459931049461368e+01
0.0000000000000000e+00 4.0459931049461368e+01
0.0000000000000000e+00 4.0459931049461368e+01
ITEM: ATOMS id vx vy vz
3326 1.20503 0.166938 -1.69472
13663 -2.68069 0.555854 0.448557
13162 -1.74526 -0.844572 -0.00552482
960 -3.29292 0.649942 -1.16813
3651 -0.647305 -2.6154 -1.79104
10752 3.33033 -1.29445 -3.85095
2239 1.11149 -0.0348008 1.67411
5754 1.41284 -2.43086 0.105324
6180 -0.995913 0.823925 0.0953335
7209 1.79492 -1.60287 0.0870917
6145 -1.46512 0.0854752 1.69264
4322 -0.0233653 -1.72326 1.29587
4741 0.317278 0.124141 2.35163
4999 -1.16524 -2.51017 -1.41121
2831 -1.57703 1.64757 -1.38593
12589 1.99119 -1.06358 3.22753
3813 -1.81677 -1.01508 -0.732639
9299 3.38567 -0.90435 2.09412
6997 0.159713 2.9685 -0.839921
12188 0.185471 1.85811 -1.85806
2454 0.920974 -1.11787 -1.4198
4197 -1.25065 -0.171394 -1.35702
1793 -0.974575 -0.453567 -0.265233
218 1.35381 0.0200187 3.35433
12201 0.981257 0.42247 0.117484
15441 -0.630311 -0.249155 2.96805
3919 0.718377 2.02654 -2.91716
8401 2.19761 1.64302 -0.382776
5159 0.790427 -1.26595 -0.641838
5839 -0.242623 1.69794 -0.812566
4820 2.73657 1.73949 -1.08828
6432 0.311857 0.938451 -0.829928
550 -1.01268 0.799747 1.43405
10618 -0.579021 -3.02162 -1.57877
5863 -0.313798 -0.895195 1.74405
14314 -3.28353 -2.0854 -1.91144
11516 0.0835764 -0.619825 -1.16414
4556 0.712442 -1.03322 1.20447
11913 1.89206 -3.58923 1.13313
8386 1.28004 1.28942 2.45332
15205 2.75388 1.02661 -0.554145
7540 -0.605122 -0.365925 -0.480169
14709 0.0424031 -0.185697 2.41029
6401 0.633685 -1.03388 -1.72975
2314 2.12887 1.61748 -0.590385
11141 -1.3203 -0.751325 0.558679
3802 1.44493 -0.756866 0.250353
11587 -1.56561 1.52849 -0.587593
1099 -0.989472 -0.335985 -1.8856
3841 -1.58382 -0.35938 -2.35949
7346 2.2247 0.660136 -1.75365
7534 -1.3545 1.5579 -1.12113
422 0.176228 -2.20403 -3.18141
2114 -0.376187 0.764729 -3.28084
3535 0.261664 0.12846 -0.101287
8478 0.287724 0.585163 2.16551
5802 -3.51291 0.58342 -1.75594
6096 1.27278 -2.19657 -1.85496
5494 -1.35423 4.18359 -2.99922
5134 2.5234 -0.365712 -1.8855
13837 -2.34948 -0.369086 -0.943043
12738 0.613979 -1.99144 0.154848
241 -0.427829 -1.754 -1.6026
15341 0.217696 -1.5163 0.290148
7608 -3.06514 0.73726 -3.5375
14011 1.74117 3.69826 2.93
13592 0.875616 -1.50504 2.67139
10145 -0.71934 1.66562 -1.66369
15322 -0.830171 -1.13247 -1.07419
8287 0.806225 0.613298 -0.934265
8949 0.000705928 2.10189 -4.68104
11959 1.51081 0.709076 -0.505533
2829 -1.11727 -5.11046 0.958902
11978 -0.0984966 -1.11367 -0.282925
12566 -3.42848 -0.849771 -1.66771
15520 -2.11286 -0.716334 0.222045
3466 1.76373 0.66774 2.27841
12854 2.30415 1.28426 -2.00397
8107 0.8933 -0.720129 1.31762
7892 2.72939 -1.7384 -0.872914
2213 0.603263 -2.148 1.68391
9409 0.00918659 1.12088 6.4417
942 -1.15932 0.361064 -3.8384
13748 -2.7318 2.36804 2.42794
4469 3.11938 2.591 -1.43992
154 0.197446 3.34866 1.44152
2373 1.13499 3.30193 -3.41223
5499 2.37186 2.01719 -2.32255
12893 -1.89794 -3.57746 0.745436
12068 0.277484 -1.85078 -1.18448
2466 0.919937 -2.93896 3.29233
11420 -4.04215 -2.13747 -3.38201
322 -0.831579 1.92879 -3.2157
98 -0.670501 1.12497 -1.49444
15141 0.904084 1.52918 -1.73411
5427 -0.790146 -0.970702 0.019831
10930 -2.80538 -1.66768 3.43247
7678 3.13204 -0.384463 3.98026
5374 -1.31681 -0.927578 -0.607199
2712 0.276852 3.22456 -0.101617
2859 -1.52753 -0.559321 3.02743
11148 0.289502 1.75714 0.844308
4582 2.22839 -1.46588 0.384689
