ITEM: TIMESTEP
100000
ITEM: NUMBER OF ATOMS
15812
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 4.0459931049461368e+01
0.0000000000000000e+00 4.0459931049461368e+01
0.0000000000000000e+00 4.0459931049461368e+01
ITEM: ATOMS id vx vy vz
1801 -1.52075 1.76384 1.93313
8544 0.0405269 -1.24989 2.55383
7476 -2.7795 2.60221 1.19651
15475 0.710589 -0.420787 -0.886055
516 0.325673 -2.99464 3.70237
2735 1.93652 1.03286 -0.0234913
7319 -0.208056 0.887102 -1.4818
14684 -0.850504 -2.55192 -0.65317
4068 -2.09116 0.431708 -0.468555
13560 -0.453711 -3.50591 3.63275
12537 1.86004 2.81193 1.16903
984 -0.981604 -0.195495 -1.41166
407 2.12928 0.0424288 1.82242
15502 -0.306318 -3.28282 -3.19678
8077 -2.64787 2.80141 0.57889
8767 0.621872 -1.83646 0.167041
7149 -2.02547 1.27532 -1.9054
11790 -3.36738 2.11303 0.0629236
13951 0.401759 -0.00142261 -1.59685
15710 0.862953 -1.01225 -1.72593
12849 -1.62756 3.09664 0.168115
3805 3.61399 -2.3205 -2.73509
1548 -2.08912 0.271434 -0.678681
11126 3.91115 -3.07271 -1.33215
863 1.47258 -1.76871 1.04806
10694 1.29618 0.574802 3.21353
13902 -0.395463 -2.40722 -0.124018
2023 1.53674 -0.753379 -3.8814
2709 2.42696 0.144828 0.658948
14114 -1.28053 -0.374095 0.1856
312 -0.273323 -3.5957 3.45892
5107 -2.20367 -1.60375 1.63775
15097 2.4763 -2.85764 3.34717
11424 -0.335252 -0.642224 -3.35178
1614 0.535145 -1.71465 1.10237
809 -0.378458 2.14561 -0.117776
8839 -0.0405196 -0.0885501 1.63113
2570 -0.0367811 -0.296251 1.54062
7244 -0.212909 -0.803729 2.18523
13524 -1.64459 -1.50894 -4.70403
15246 -0.914172 0.0794488 -1.97636
384 2.178 -1.15419 -0.590856
7012 -1.54942 -0.104908 -0.423786
12955 1.56382 -0.46558 2.31371
11647 1.40579 0.330308 0.353922
4012 2.92454 1.34629 -0.729853
8700 -2.80852 2.55559 3.39277
13340 -2.54256 -3.63313 1.38398
216 -3.81866 -1.61521 0.113356
3977 1.60423 -1.31865 1.77875
6518 3.4368 -0.39517 -2.71099
14641 -1.39934 0.175144 -2.30987
13626 -0.263553 -2.58116 0.833611
4779 -2.36495 1.58522 -2.29854
11605 1.82024 3.69428 -0.624049
8771 -0.166167 1.84093 -2.5653
7700 -0.126564 -0.435328 -0.21755
2187 0.309175 -0.564756 1.4202
5220 -0.738551 1.86846 0.906958
8803 0.709659 1.91737 2.34354
14652 0.553965 -0.129041 -1.39556
6700 -2.24341 -1.82031 1.34301
38 -1.57739 0.953536 1.23035
1773 -2.17331 3.2523 1.19669
3113 2.95537 1.56671 -2.92482
5763 -3.35804 -1.60228 0.655267
2008 0.620574 2.81754 -2.64132
8442 0.996683 0.601178 1.85372
14245 -3.55003 -3.83946 -1.91073
952 0.769107 0.315029 2.45466
10165 -0.65617 0.630471 -1.68527
5589 1.50505 -1.85082 0.68662
9164 -0.0646026 2.20083 2.10015
6321 -0.232102 2.39603 0.641912
1226 -3.92989 0.692409 -2.60361
14738 -0.774348 0.924272 0.598418
259 2.19566 0.129539 1.05953
12377 0.986744 0.245019 1.06542
1185 -0.835074 -0.994744 -2.27585
9159 2.61291 -0.893139 -0.475061
3923 -0.287679 1.41565 3.18849
14967 -0.566574 -3.51298 -0.669459
14988 2.82356 -2.96574 0.880239
335 -0.498218 1.98973 0.691258
12399 0.17765 0.572851 -0.442373
3223 -2.50661 -0.191441 -1.66624
2716 0.558212 1.37083 0.00346814
6390 2.07614 -3.01558 -1.21887
874 -1.77942 1.92394 -3.84276
13401 3.23388 -3.76174 0.198167
7027 -1.67578 1.3306 -1.61612
5205 0.642743 -0.978881 -1.30909
13483 -1.59608 2.82987 0.606639
14181 -0.0838629 -1.54541 1.11777
2296 0.381834 0.287417 1.53736
987 -3.00944 -1.24539 0.0861671
11886 1.77089 -2.52207 -0.0820965
10939 -1.52062 1.25572 0.0417976
9629 4.29377 -0.36375 1.58267
12513 0.156401 -0.763078 2.16663
2108 -2.88759 2.68667 0.386907
2513 1.32587 1.86763 -0.47422
11548 -3.86521 -0.405296 -3.60319
6541 0.440784 3.50289 1.48583
6859 1.16071 1.35236 -1.64305
1540 0.188801 0.613388 0.336202
10075 2.91849 -0.603737 0.608652
10733 -2.51956 0.196146 -0.612293
2082 2.05753 -1.29824 -2.30632
15077 3.12529 0.866029 -2.05724
1385 2.81581 2.53053 -0.51733
311 -0.471702 0.453024 -0.987569
15050 -0.774192 -0.653151 -0.742471
5019 1.70238 2.13331 -1.55355
15662 -0.774314 -2.54849 -0.182386
375 0.48669 0.793686 -0.369301
2432 -0.965728 -0.0273317 -1.46002
1471 -1.3972 -0.71987 0.0711761
1178 -0.65672 -2.87228 -1.44275
11224 -2.55003 0.737207 -2.87553
13041 2.60466 0.993643 -0.647387
15325 -0.186328 -0.472851 1.87106
6683 -0.488521 -1.44302 4.53021
1309 -4.31166 0.877248 2.39528
12121 0.97298 -1.47188 0.362025
13465 0.876094 -1.76777 -1.36119
2148 1.19438 1.4 -3.14202
1630 1.02595 3.39026 0.396859
11954 0.787586 -1.05231 3.85309
14567 0.971739 2.19686 -0.995308
6122 -2.69073 1.63611 0.580381
5546 0.325232 0.645016 1.69827
951 -1.93373 -2.76346 1.22753
11637 1.02251 -2.59635 -2.0463
2221 -0.621673 -3.51623 1.06393
15120 -1.08999 2.82619 -1.78456
5737 2.13952 0.690809 -0.135755
7104 0.530647 -2.80828 -1.17134
14780 0.573639 0.793649 -0.271027
1718 2.2264 2.60451 3.58483
1998 0.868527 0.439488 3.44463
1150 1.6013 -0.597046 0.422578
602 2.04245 3.19538 -1.0236
15456 2.59988 1.80215 -1.66958
492 0.361079 -1.44798 -0.985577
11689 -0.192654 -0.571178 0.725868
13947 1.43729 -0.85501 -4.02022
8100 -3.97686 -2.64673 0.0302816
3405 0.509614 0.440944 -0.347454
15636 1.34739 -1.99064 -1.23425
14734 1.59503 0.181851 0.314703
1888 -0.900259 2.38852 2.70609
15154 -3.28864 0.724198 0.624607
11601 1.82906 -1.62407 0.162588
14873 2.10939 -4.42565 0.584459
390 2.25805 -0.0996221 1.70495
4660 0.725283 -0.30883 0.862646
8954 -1.01629 1.80827 2.38528
5588 -1.75567 0.185127 -2.23401
900 -1.8167 0.988189 -0.310669
13117 -0.996034 -1.22076 -1.00456
11329 1.6599 3.19872 2.13784
2919 1.44664 -0.0728271 -2.9207
12439 2.40795 0.0594944 0.906919
10704 -0.966458 -3.76437 2.03535
14390 -3.71783 0.63745 -0.994832
10579 1.6649 -2.25713 -0.84582
10864 -0.893032 -3.22795 0.860614
13184 -1.80592 1.86281 -1.48021
13099 1.11915 2.28319 -2.43129
11883 -1.76755 -1.90597 1.21129
5537 1.9327 -3.1445 -2.19511
8647 -0.383358 0.598973 2.43588
11250 1.60279 -1.23098 -2.54568
3376 -1.28336 1.1319 2.33948
5900 -0.522152 2.04081 2.20964
13759 -2.96329 -2.40397 0.768555
10105 -0.471365 -1.20677 -3.65955
2697 2.93518 0.95594 1.46702
8371 1.38615 -1.51949 0.0692633
4111 -0.0864409 -2.65442 -1.75477
6955 -1.76828 0.11834 0.98694
3849 -2.38519 1.9569 -1.70959
13001 3.83954 -0.249545 -1.06214
6236 -0.79978 1.75257 0.419037
9957 2.56228 1.43247 0.394534
13417 -1.35759 2.92759 -0.635609
9344 -3.82986 0.482846 -0.554492
14861 -1.70158 3.53251 0.266056
10294 1.08238 4.72477 0.307758
9018 1.05503 -4.07487 3.51968
6120 0.0506423 -2.61934 -0.797813
5445 -2.61426 0.534886 -0.118953
15651 -2.25219 0.530503 2.48268
1025 3.35395 2.5112 0.102952
15695 -1.83304 -0.511458 -0.39792
9498 -2.15192 -3.3882 -0.565011
4672 0.0998259 0.46842 -0.736203
14343 -1.40971 -0.559118 -1.21899
3637 -0.1108 -1.53771 1.22954
9819 0.52106 -1.34572 1.09354
4851 1.90299 2.71532 2.45064
7489 -0.86043 -0.868069 -0.659893
11034 0.104084 0.92221 0.378312
12079 -2.48283 0.59176 1.35589
12615 0.414107 -0.061446 -1.24675
2810 3.17731 -0.277629 -1.80057
2730 -1.14694 -0.947664 2.47008
12938 2.76029 2.91027 -0.638396
14921 1.38076 2.9706 -2.87924
14925 -0.45268 -1.59436 -0.455912
11595 -1.39451 0.338257 0.989211
10637 0.353065 -0.697181 -1.12369
11841 0.491564 -0.3133 1.23623
1435 -0.582219 -3.72464 -0.507396
449 -1.7811 1.52444 -1.77074
3968 0.192801 1.68179 -1.35984
3949 -1.91154 -3.14627 -2.67624
4587 0.574046 -3.08068 0.294128
10323 -1.90583 1.58293 -1.16187
8535 1.30212 -1.69584 0.20788
13967 2.76066 -0.078696 -0.644574
7510 2.58035 0.45206 0.182885
3754 -1.5452 3.00153 -1.82026
7940 -0.87379 1.83892 3.57055
10783 0.213024 0.489311 0.202826
841 0.886153 -0.67754 -2.98703
9057 -1.44994 2.17364 2.13581
9919 -2.04472 -1.69826 -0.31063
14262 -1.51095 -1.58831 -0.728489
14173 -0.0226073 0.235513 -0.465869
13255 2.28236 -0.737671 -1.27043
1132 -1.95524 1.00867 3.20466
5069 -1.29136 2.41792 -0.693857
2455 -0.0887816 -0.781822 -1.35199
4477 1.19326 0.475141 -0.65196
8685 2.37957 1.73792 1.55572
5008 0.588935 1.18432 -0.77067
12661 2.95429 -2.36927 1.18645
8411 -0.645619 0.8597 0.266116
1257 1.43779 -0.194607 -2.16166
3619 0.365762 1.10993 -1.75337
14277 0.622367 2.77226 0.202573
1623 -2.30084 -0.147051 -1.93853
10285 -2.03137 -1.7318 2.47479
15428 0.802126 -0.832714 -2.01421
13716 2.5256 0.411035 -1.22751
8208 -1.87459 -0.87651 -0.90031
10407 -1.83219 1.78916 -0.479034
6296 -1.0079 -0.955473 -2.94398
10452 0.94768 2.47549 0.074923
12551 -0.463346 0.423185 1.61308
10747 -1.31076 -0.038797 0.104251
12640 -2.21462 0.0907832 0.673228
12910 -0.183692 -0.846716 3.09502
12284 -0.529713 -3.87786 -0.722602
4184 0.283847 0.446595 1.32373
10962 -2.78786 4.274 3.23044
8663 0.972831 2.80168 -3.10767
14051 1.5399 0.490237 -0.399549
10269 -2.77599 2.14173 -0.508664
13103 -0.88093 1.14587 -0.569242
4105 -4.40347 -1.36758 1.14946
4010 0.7227 2.93979 3.2043
368 -3.7262 3.26831 -0.708337
10988 2.67564 1.11067 0.65139
11760 -1.25144 -2.46784 -0.968989
6267 -0.319198 2.22959 0.430963
10375 0.887849 3.82339 3.32336
4907 -3.11716 2.68967 0.781131
290 2.37691 -2.69809 -1.0011
1440 -1.6921 -1.22544 -0.829762
4076 1.49323 -1.85124 1.59792
12811 1.07528 -3.4888 -2.45517
3786 -0.62761 2.86787 1.33059
9384 0.263821 0.433794 -0.57505
15282 -0.714938 1.48515 -1.87457
7451 1.14116 -1.77268 -2.55859
3937 2.01724 2.13029 2.5723
170 -0.0446856 -1.01279 -0.00967052
14447 -1.49392 2.24029 0.809919
6320 0.0206947 1.58569 -0.890108
1023 -2.82567 -0.826485 3.12193
14084 0.242741 -1.32086 0.11824
3917 1.38515 -0.942557 0.982379
9207 1.34893 1.57464 1.45511
3061 2.18871 0.548566 -0.197738
6765 -2.33959 0.0204276 0.785066
8622 0.0756909 2.79692 -0.857968
13504 4.07514 -0.844498 -0.632073
764 -0.632628 -3.49839 -2.45657
2737 -2.4102 0.869403 -3.03593
5569 -1.123 1.65873 -1.43897
11874 0.672307 1.27658 -1.31975
10632 3.095 0.868519 1.95023
11590 -0.980994 -0.177774 -1.52184
13495 -0.0404368 3.39639 2.64654
6562 -0.362617 1.12007 -2.40792
7475 1.78959 -3.83451 -2.13203
2401 0.0073638 -0.83796 -1.61079
12870 -1.7322 -0.152032 1.28096
316 -1.34505 3.30978 1.18975
535 -2.12259 -4.37829 0.427583
10608 -1.14837 1.01602 0.617457
5434 -4.15946 -2.47159 -2.85597
14237 -2.43586 -1.69118 0.895592
171 -1.25274 0.975389 2.76386
14099 0.0916597 2.23392 -1.62124
1571 0.176985 0.491439 -1.66962
3272 2.36534 -2.53275 -2.19903
10466 3.50719 0.728622 -2.49411
13925 -0.806939 0.910419 2.84848
3851 3.13502 -1.86587 0.0649708
451 -0.089012 -2.70461 -0.388954
10560 -2.08147 -0.994887 0.706275
10250 -0.600664 -1.57511 1.06466
6681 -2.66699 1.33989 2.32563
5350 2.28691 -0.00798721 -0.570567
9583 1.65822 1.4246 -1.89272
4303 -0.136354 -2.23102 -0.526977
2682 1.28804 3.07919 -0.245235
652 -3.36154 1.4241 -0.289013
6429 0.0327795 -1.7625 -1.38704
2521 -1.02788 -3.08216 2.86576
1220 1.71318 -0.406816 -1.61106
10732 0.473534 0.434906 -1.09133
12360 0.821908 1.58591 0.610083
10841 2.7637 -0.13765 -2.49083
12554 0.48884 -1.44085 3.51415
12145 -1.18449 2.69365 -0.911481
5749 -0.169968 3.92898 1.11343
5986 2.35813 3.34422 0.145346
13848 -1.89198 -0.965694 0.644643
14680 -0.482407 -1.21489 1.31411
2915 1.09444 -1.06803 -2.71204
4513 -2.09355 3.23585 1.14723
15266 -2.01445 -4.14897 -1.95997
12669 0.904102 1.0861 0.891991
8048 0.142113 3.86517 -0.115695
9873 1.85472 -2.66482 2.62974
2663 -0.276937 -0.302439 1.3766
5917 -1.35199 -3.64157 0.123446
8728 0.715116 -0.363142 -0.404477
5337 0.803127 -0.740204 2.32269
1905 -0.19877 4.30618 1.58952
10406 4.88132 0.557758 -0.96925
4561 0.502908 -1.80488 1.6398
4326 3.09461 -1.32261 1.7322
11898 1.98542 0.656873 -0.304138
10164 -2.12383 -0.332894 0.757075
4832 2.51731 3.07598 1.18303
4861 -3.98702 -2.23061 1.57504
11408 -1.55741 -1.58336 0.718171
1640 0.509838 -3.00032 -3.57149
10860 -3.9238 0.88123 -0.860749
12889 0.0579733 0.650686 -1.9339
15420 -3.37172 3.69718 -0.330158
13687 1.9287 1.79688 -0.830326
8119 1.05134 1.8252 0.26612
10274 0.957203 -1.30983 2.33426
10828 1.28699 -1.36573 -0.496662
1157 0.653178 0.93261 -0.480461
14731 0.388003 -1.973 -1.19201
7276 1.90485 0.800563 -1.85223
14020 0.0702539 -0.675427 0.276669
12060 -0.0525713 -1.82874 -2.65002
2435 -0.977388 2.27423 -0.483733
15092 2.04463 -1.5583 0.0388379
4277 -0.186113 -1.68602 -1.71999
379 0.985749 -2.27598 -2.109
8312 1.69345 -0.678649 0.679723
7694 2.78769 -1.70974 -0.355405
15677 1.52854 -0.191169 -0.600286
15781 1.51746 -1.41943 1.89922
9039 0.857435 -0.0840263 -1.37343
2675 -2.64011 -2.56737 -0.91058
1597 1.56173 0.416661 1.06953
4958 -1.60521 -1.12804 -3.58289
1559 3.04073 -1.86015 -0.490318
39 0.367832 -0.460397 2.82222
10549 2.73596 -2.02697 -1.02308
11179 -1.77274 0.815221 -1.8708
15268 -0.059271 1.45308 0.283855
15326 -0.775562 0.997794 -2.18903
5941 0.914411 -1.6668 1.25014
5861 1.29886 -0.549178 -2.2781
9703 -2.40704 0.087911 -0.476547
4849 0.793225 -0.11602 0.812554
15430 0.659688 -0.98078 0.185928
15645 0.60232 0.874106 -1.87197
10606 0.570599 0.556147 3.63915
5267 0.316085 3.13578 1.43881
8819 0.681914 0.609059 -1.02165
8413 3.65105 -1.56755 1.53925
823 1.55323 -1.55169 -1.1416
6938 2.20172 -1.1145 3.19693
12186 -4.01607 3.75957 -1.434
6028 -2.76385 -0.769519 -0.826692
6136 -0.495878 -1.32053 -1.75288
15280 -0.777292 -1.2747 1.31203
3465 2.77369 2.40829 0.42023
4384 0.777078 -0.337142 -1.69748
773 3.53066 1.80266 -2.81293
1431 -0.810826 -0.891347 0.136024
2855 -1.56526 4.04067 -3.52635
14923 3.0528 0.521908 -1.28368
2969 -0.505915 2.64029 1.60276
13719 2.46249 1.46093 0.0627462
1738 1.06856 1.82902 -0.435117
1390 1.4673 -1.2915 -0.423926
3680 -1.27016 -1.63322 -3.77383
5192 -1.06283 2.18475 2.36682
15524 -1.52205 1.72294 -0.765609
7606 -2.67195 -1.29927 -0.129652
9383 2.20714 2.4146 1.2685
4948 -2.29194 -0.628423 1.43464
1790 -0.361411 0.0395336 0.252188
11887 0.726505 -1.21421 1.67029
11325 1.29499 -1.78908 -1.01837
15756 1.44477 1.61541 1.23624
1412 -1.27222 3.13912 -0.371834
5054 1.0946 1.21078 1.34731
13332 -2.51735 3.9991 4.81825
9844 3.19826 1.70833 0.0117221
10435 -0.62505 -1.79769 0.780824
14161 1.10285 -1.64573 -1.40328
13565 -0.256071 1.08663 0.237995
13589 -0.449545 -1.01571 -4.38576
14340 -0.688806 1.08431 -4.12428
4767 0.0215644 0.035067 -0.421703
14428 1.15716 -2.10887 -0.558419
1270 -0.0105313 -2.76471 -2.52259
5596 -3.47449 -0.772739 0.094973
11991 1.56285 1.93139 -0.766013
4007 2.13437 -0.137622 1.15266
11586 -2.11028 -0.265692 -1.42929
13390 -0.634288 -0.908569 -1.51563
4596 -0.855209 -0.89202 0.810232
593 -0.898144 -3.42452 -2.34515
707 0.0869838 0.177932 1.08065
8105 -1.93083 1.64019 -0.649494
3674 0.462934 -0.056289 -0.859177
5925 -1.90931 0.239341 -3.18242
1678 -2.63113 1.26806 -1.51565
15099 -2.93057 -1.55139 -0.17344
14514 -0.28025 -1.19902 1.83234
15197 -2.36344 1.56465 3.1474
13875 -3.69979 -3.35989 2.43138
14077 -1.34981 1.04228 -2.2524
11782 0.00885931 -1.3757 1.9553
5777 1.00189 -0.927485 2.59538
5006 -0.838046 2.01921 1.53871
13215 0.015463 -0.0724715 0.433695
10592 -1.39829 0.230802 2.61454
1039 -0.0200742 -2.42787 -3.18324
8358 2.99981 4.01113 -3.6679
1536 2.33479 -3.08025 1.98855
10056 0.882845 -1.60593 -3.46221
8460 0.9411 -3.80298 -4.11082
15493 1.88385 0.602172 -1.13136
4761 -1.30547 3.48351 0.412248
811 -0.0833745 -0.452369 0.382529
14093 0.235529 2.97225 3.28062
6398 0.673133 -4.26854 -3.02614
1608 -0.595951 0.595926 -1.76471
8520 2.13108 2.88336 2.5689
1306 1.54679 -3.70107 -0.129973
5652 -0.812643 -0.927139 -1.39377
1999 -4.06553 0.302357 -0.916672
12724 0.357195 2.16564 0.501671
3794 -3.2821 -1.15439 -2.4817
14934 -0.980643 0.357977 0.925542
3306 2.14535 0.57959 3.32645
8517 -2.89845 3.08429 -2.36814
12689 0.66544 -0.974206 3.3701
4860 0.176031 2.88087 1.66208
7171 0.813508 -4.14989 -1.39489
10779 4.00528 -1.51623 0.853813
5820 -0.146356 -0.435651 -2.87229
3307 2.0863 -2.12026 -0.432319
2519 -2.08553 0.505888 -1.53538
10894 -2.03101 -1.99507 -1.7835
1359 0.613727 0.994058 -0.239121
5524 -0.550377 0.683632 1.74271
12631 -0.287019 -1.31445 -0.848022
10693 -2.01442 -0.659238 -0.195027
15528 -1.29271 1.82723 -2.08974
8160 0.35296 -1.37118 -0.124794
13588 -1.70404 2.02443 1.49609
3706 0.234805 0.248511 -0.74589
5824 1.98519 0.112767 0.47849
5449 2.21942 -0.240762 -1.23066
14979 -3.59824 -1.96849 1.15282
7901 -0.664768 0.0199198 0.494101
9689 3.49162 0.0184981 -1.25283
13123 0.73735 -4.11992 1.25224
861 -0.435854 2.51748 1.08994
1589 -1.10853 1.10429 -0.949418
8522 0.772414 0.24851 -2.59952
13720 -1.2959 1.45428 -1.14135
5849 -1.10236 -0.76849 1.12396
10858 1.32946 1.58857 4.35865
13550 -0.862614 0.779125 0.675692
13656 1.61357 -1.34596 -1.94291
9043 2.40543 0.330359 -0.278115
7218 -0.754166 2.66723 -1.44129
4005 1.77999 -2.48443 -0.414281
1591 -0.0258064 0.912178 -0.16471
12788 -0.696539 0.116667 -2.05622
12794 -0.675774 2.13808 0.452264
8273 -3.43325 1.29376 -2.53492
3070 -1.6567 3.50923 0.672477
5952 -0.664538 -0.00447265 -0.931751
5561 1.46474 -0.371779 -1.27065
10919 2.14876 2.32034 -0.0728969
14218 4.47096 1.60784 0.510463
3212 1.97035 -1.38474 -0.192414
12582 -2.78209 -0.0404913 -0.820507
6647 -1.0871 1.55694 0.242021
14732 -1.58147 0.51633 0.111198
1331 -0.647494 0.78343 1.38249
4532 -0.835679 -3.34944 -1.79342
12416 0.186837 -1.95474 2.16962
6079 -1.85731 -1.4857 -1.62448
11476 -2.09428 0.56968 -0.138865
2815 -1.38278 -2.73404 2.01841
13371 0.66207 -2.21246 0.0347046
6366 -2.32365 -2.92742 -3.88111
5676 -0.76302 0.495668 -0.0450092
13234 0.39239 1.47384 -2.70773
188 -1.80523 -2.21753 2.99272
10025 -0.276743 -0.865987 2.6682
15741 3.29972 0.788027 -2.07461
4613 1.19378 0.299273 1.35538
6929 0.896633 3.54332 -1.76331
12200 1.07839 1.00935 -0.808992
8869 -0.741235 1.36566 -0.82761
15359 -2.60356 2.69752 0.995986
10057 3.7136 2.84556 2.0563
4945 -0.779276 -1.45088 2.35183
6123 1.16011 -1.47994 -0.0759689
5814 -0.181653 1.81605 0.358685
14555 1.34201 4.30592 0.965825
5984 -0.578289 2.04594 -2.47771
7432 2.59415 -0.296918 -1.28994
14898 -3.50834 -0.77866 -0.973896
6444 -0.0130681 -0.358667 3.25457
14430 1.25037 0.711934 -2.84928
1810 2.22285 0.780835 -2.48063
10972 2.09134 4.66338 1.68653
4324 1.47752 -1.21782 -0.605334
7775 -3.41245 1.763 3.00702
10667 -0.540632 0.413189 -1.42088
1128 2.80539 1.46876 1.20681
6711 0.0798378 -1.0864 -0.670395
14435 -0.577228 2.06948 0.204895
15510 0.18229 1.09154 -3.11327
1984 -1.55898 -0.369486 0.3846
5498 -2.78161 0.0943008 -1.08711
5471 0.253753 -1.40017 0.435794
4448 -0.823021 -0.63395 -0.313221
12602 0.86145 -0.559542 -0.913457
8311 3.75034 -2.05592 0.64953
9897 -2.21542 -2.39799 -1.153
6419 -2.37943 -1.31 -1.92329
13339 -0.150667 0.580376 0.611678
9098 0.85385 0.260965 1.50279
1872 -0.470572 0.896465 1.07481
3282 0.230672 -2.17831 1.51567
8762 3.35399 0.407983 -0.112127
7463 0.733905 0.904326 -2.82279
6078 1.42281 -0.394294 0.460301
10008 -0.191244 0.798985 -0.554727
2 -1.27271 0.566041 -1.3192
2678 -0.299426 0.182613 0.954313
15010 -1.65165 -2.28885 0.121265
14083 -1.02527 3.23094 0.299906
13214 3.33242 0.45659 1.75438
2880 2.36756 -1.6401 -1.34129
12328 -2.07796 1.53692 -0.800848
5145 -1.61189 1.02639 0.646313
9644 -1.34565 -3.60586 4.38811
9157 -0.418544 -1.45156 -2.86591
2867 -1.19336 1.029 1.68263
6781 1.25279 1.5703 -0.906331
2534 -0.375458 3.03014 -2.49085
12347 -0.383963 0.207702 3.43954
9745 -0.533025 -1.02015 -0.203658
10257 -0.639078 0.0405231 -1.5499
7963 1.48204 -0.822099 2.06643
13639 0.356158 -1.65892 0.0649246
12754 0.259288 1.17371 -0.854323
2979 1.0378 2.93331 0.673048
8153 -0.944374 0.383913 -1.09818
13190 0.467335 0.446862 -1.19952
9868 -4.64065 2.32379 1.45214
11109 -1.99228 -0.634317 2.18435
11045 -0.705788 -0.23272 -0.514715
7283 -0.678986 -1.84169 2.16063
2381 -1.22564 -0.201188 -0.408045
194 -0.711767 0.0930531 -0.0428194
10058 -2.44978 0.809757 3.37514
3224 0.604757 2.55443 -2.06206
3879 3.012 -0.856431 1.79072
11372 0.871743 1.70267 0.700484
2821 -0.450808 -1.88218 1.11725
14905 0.751437 1.3988 -0.770147
4883 0.208309 -0.496419 0.408652
13760 0.00715237 2.30111 -2.00221
11303 -0.749628 -2.52692 0.801498
13828 -1.80353 -1.80032 0.205289
15639 0.320566 -0.0986942 -2.63291
5383 -0.882831 -0.296981 0.900678
8180 -0.484689 -2.34481 -0.478146
1584 0.921747 -0.3505 -4.65178
7110 -0.0156965 1.14149 0.51266
2412 -0.617033 -2.54828 1.37763
13111 2.09459 2.34554 1.64886
8270 0.486988 -0.704675 1.59831
8846 0.930401 -1.19887 1.16867
2699 0.949333 -1.28325 0.0501397
6406 2.01265 -0.416974 1.02665
15401 -0.0568091 -1.08881 1.18098
3804 -0.0879559 2.03082 -2.71294
7207 0.692692 2.13136 0.943753
10569 1.1557 -1.57786 -0.316984
5185 1.95979 -0.598118 -0.122665
14810 3.04602 -0.0505705 -1.05041
14896 -0.58312 -4.13273 0.626891
6556 -1.2706 -1.64954 -4.8919
14591 3.19307 -0.616122 2.71348
755 0.28611 -0.308606 -3.21896
9316 1.28177 -2.32417 -0.423294
4352 -3.26462 -0.709164 2.19812
10400 0.644282 -1.15545 0.786747
54 -2.08569 -0.0140006 1.0312
7305 -1.13984 -0.497408 -0.069203
10655 2.35413 -1.34708 -0.397656
10926 1.39472 3.28286 0.656088
12727 -2.33596 -0.518249 -4.0629
12184 -2.47186 1.61289 1.51629
2517 -0.240576 0.118972 -2.49657
7798 1.71579 1.0449 0.454825
9327 -2.74471 -1.23908 1.34868
10094 -0.292443 1.68318 0.595467
13700 -2.35932 3.03785 0.922174
6965 -0.914221 0.460185 -0.559153
14660 2.4901 2.00956 -2.49622
14922 1.83815 -1.1743 2.79069
14576 -0.518976 -0.284412 -0.405272
9139 3.27853 0.597293 -1.1338
14714 1.27772 -4.00388 -0.670279
6427 -1.01263 3.6659 -2.49361
6286 -0.641622 1.39964 1.52763
1784 -3.2131 -1.36478 1.37292
6460 -0.883433 2.04322 -0.858038
2208 2.44444 3.19775 2.45184
5554 2.55349 -1.37801 -1.10185
7930 -2.37817 1.05585 0.504566
2470 -1.45816 -1.50743 -1.24604
2460 2.10553 1.58548 1.64426
1337 3.09268 -2.18586 0.300018
14079 -2.68547 -0.377427 -0.758073
7146 -1.21481 2.16542 -0.399655
8482 1.2249 0.863394 1.30326
7427 0.729011 1.25898 -1.72164
11246 2.00887 1.51385 2.94146
13126 0.908447 -0.32358 -2.17694
8015 3.70003 -2.87741 0.0187204
1051 -0.134168 -2.74726 0.437069
2547 -2.55874 0.815143 -1.19381
775 4.1171 3.40964 -0.917946
11066 -0.48535 3.02712 -0.72155
1849 3.07787 -2.63839 1.86658
8704 1.0818 -2.05443 1.30824
13765 0.704988 0.612859 -2.27881
3682 1.93765 1.92771 -2.6233
5803 2.2352 3.19411 -3.52215
13756 -0.24514 3.7041 -1.57903
9696 2.49432 2.24487 -0.231022
4636 -2.56614 -0.385032 0.846057
2136 3.07592 1.51489 1.67558
2576 -0.165183 -2.59984 -1.55195
1190 -2.02783 -0.859287 -0.986529
15650 1.20005 3.24563 1.09734
582 -0.9456 0.131575 -0.528888
14240 -0.722809 1.74646 -3.47342
12077 -0.519064 2.61324 -0.442725
1568 0.832234 -0.614217 -1.95334
6171 -0.37915 2.34655 0.654913
9830 0.517279 2.865 2.45923
8317 -0.65561 -0.220516 -2.31794
1826 1.7236 0.713446 -2.42323
10656 -2.07714 -0.299902 0.710272
45 0.724284 -1.51516 3.74552
14855 2.64335 -0.329564 -0.154143
5346 -3.61633 0.475473 -0.0717853
1243 -1.34138 2.13247 0.368014
3400 0.435908 -1.67172 2.52987
5873 3.26667 2.11538 3.3804
8718 1.02216 2.47833 -1.79852
10802 -1.98305 1.4538 4.958
12424 0.26896 1.43234 2.53434
2167 1.60123 -1.00153 -4.71971
15561 -2.42523 4.16874 0.0459435
11817 1.20853 1.76716 -1.51684
4426 -4.45777 2.23175 -3.43617
7852 -1.09471 0.230764 -3.90057
699 -1.11675 0.0996851 1.16222
